Memory Length;500;;;;;Memory Length;500;;;
Trigger Level;600mV  ;;;;;Trigger Level;600mV  ;;;
Source;CH2;;;;;Source;CH2;;;
Vertical Position;-38;;;;;Vertical Position;-38;;;
Vertical Offset;0;;;;;Vertical Offset;0;;;
Time Base;2.5ms;;;;;Time Base;2.5ms;;;
Volts;2V;;;;;Volts;2V;;;
Probe;X 1;;;;;Probe;X 1;;;
Coupling;DC;;;;;Coupling;DC;;;
Horizontal View;Main;;;;;Horizontal View;Main;;;
Waveform Last Dot Address;500;;;;;Waveform Last Dot Address;500;;;
Horizontal;15.80ms ;;;;;Horizontal;15.80ms ;;;
Time;17-Apr-26 10:37;;;;;Time;17-Apr-26 10:37;;;
Sampling Period;100.000us;;;;;Sampling Period;100.000us;;;
Sampling Mode;Equivalent Time;;;;;Sampling Mode;Equivalent Time;;;
Waveform Data;;;;;;Waveform Data;;;;
-48;;;;;;-48;;0;-76,8;0,0001
2;;;;;;2;;;3,2;0,0002
-51;;;;;;-51;;;-81,6;0,0003
2;;;;;;2;;;3,2;0,0004
-50;;;;;;-50;;;-80;0,0005
-50;;;;;;-50;;;-80;0,0006
2;;;;;;2;;;3,2;0,0007
-50;;;;;;-50;;;-80;0,0008
-50;;;;;;-50;;;-80;0,0009
-50;;;;;;-50;;;-80;0,001
-50;;;;;;-50;;;-80;0,0011
-49;;;;;;-49;;;-78,4;0,0012
-50;;;;;;-50;;;-80;0,0013
-50;;;;;;-50;;;-80;0,0014
-50;;;;;;-50;;;-80;0,0015
-51;;;;;;-51;;;-81,6;0,0016
2;;;;;;2;;;3,2;0,0017
-50;;;;;;-50;;;-80;0,0018
-51;;;;;;-51;;;-81,6;0,0019
-52;;;;;;-52;;;-83,2;0,002
-50;;;;;;-50;;;-80;0,0021
-51;;;;;;-51;;;-81,6;0,0022
-51;;;;;;-51;;;-81,6;0,0023
-51;;;;;;-51;;;-81,6;0,0024
-52;;;;;;-52;;;-83,2;0,0025
-51;;;;;;-51;;;-81,6;0,0026
-51;;;;;;-51;;;-81,6;0,0027
-51;;;;;;-51;;;-81,6;0,0028
-51;;;;;;-51;;;-81,6;0,0029
-51;;;;;;-51;;;-81,6;0,003
-51;;;;;;-51;;;-81,6;0,0031
-51;;;;;;-51;;;-81,6;0,0032
-51;;;;;;-51;;;-81,6;0,0033
-51;;;;;;-51;;;-81,6;0,0034
-50;;;;;;-50;;;-80;0,0035
-51;;;;;;-51;;;-81,6;0,0036
-51;;;;;;-51;;;-81,6;0,0037
-50;;;;;;-50;;;-80;0,0038
-51;;;;;;-51;;;-81,6;0,0039
-51;;;;;;-51;;;-81,6;0,004
-51;;;;;;-51;;;-81,6;0,0041
2;;;;;;2;;;3,2;0,0042
-51;;;;;;-51;;;-81,6;0,0043
-50;;;;;;-50;;;-80;0,0044
-51;;;;;;-51;;;-81,6;0,0045
-51;;;;;;-51;;;-81,6;0,0046
-51;;;;;;-51;;;-81,6;0,0047
2;;;;;;2;;;3,2;0,0048
-51;;;;;;-51;;;-81,6;0,0049
-51;;;;;;-51;;;-81,6;0,005
-51;;;;;;-51;;;-81,6;0,0051
-51;;;;;;-51;;;-81,6;0,0052
2;;;;;;2;;;3,2;0,0053
-51;;;;;;-51;;;-81,6;0,0054
-50;;;;;;-50;;;-80;0,0055
3;;;;;;3;;;4,8;0,0056
-50;;;;;;-50;;;-80;0,0057
3;;;;;;3;;;4,8;0,0058
-52;;;;;;-52;;;-83,2;0,0059
-51;;;;;;-51;;;-81,6;0,006
3;;;;;;3;;;4,8;0,0061
3;;;;;;3;;;4,8;0,0062
3;;;;;;3;;;4,8;0,0063
-51;;;;;;-51;;;-81,6;0,0064
6;;;;;;6;;;9,6;0,0065
2;;;;;;2;;;3,2;0,0066
-50;;;;;;-50;;;-80;0,0067
2;;;;;;2;;;3,2;0,0068
-50;;;;;;-50;;;-80;0,0069
3;;;;;;3;;;4,8;0,007
2;;;;;;2;;;3,2;0,0071
-51;;;;;;-51;;;-81,6;0,0072
4;;;;;;4;;;6,4;0,0073
2;;;;;;2;;;3,2;0,0074
3;;;;;;3;;;4,8;0,0075
2;;;;;;2;;;3,2;0,0076
2;;;;;;2;;;3,2;0,0077
2;;;;;;2;;;3,2;0,0078
3;;;;;;3;;;4,8;0,0079
2;;;;;;2;;;3,2;0,008
2;;;;;;2;;;3,2;0,0081
3;;;;;;3;;;4,8;0,0082
4;;;;;;4;;;6,4;0,0083
3;;;;;;3;;;4,8;0,0084
2;;;;;;2;;;3,2;0,0085
4;;;;;;4;;;6,4;0,0086
56;;;;;;56;;;89,6;0,0087
2;;;;;;2;;;3,2;0,0088
2;;;;;;2;;;3,2;0,0089
3;;;;;;3;;;4,8;0,009
3;;;;;;3;;;4,8;0,0091
55;;;;;;55;;;88;0,0092
4;;;;;;4;;;6,4;0,0093
54;;;;;;54;;;86,4;0,0094
-1;;;;;;-1;;;-1,6;0,0095
2;;;;;;2;;;3,2;0,0096
55;;;;;;55;;;88;0,0097
4;;;;;;4;;;6,4;0,0098
55;;;;;;55;;;88;0,0099
55;;;;;;55;;;88;0,01
2;;;;;;2;;;3,2;0,0101
55;;;;;;55;;;88;0,0102
4;;;;;;4;;;6,4;0,0103
55;;;;;;55;;;88;0,0104
54;;;;;;54;;;86,4;0,0105
55;;;;;;55;;;88;0,0106
55;;;;;;55;;;88;0,0107
2;;;;;;2;;;3,2;0,0108
56;;;;;;56;;;89,6;0,0109
